2026-03-10 01:22:10 [background-preinit] [] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-10 01:22:10 [main] [] INFO  c.c.p.a.EnterpriseCommerceApplication - Starting EnterpriseCommerceApplication using Java 21.0.10 with PID 36644 (C:\projects\enterprise-commerce-platform\app\build\classes\java\main started by sehul in C:\projects\enterprise-commerce-platform)
2026-03-10 01:22:10 [main] [] DEBUG c.c.p.a.EnterpriseCommerceApplication - Running with Spring Boot v3.3.2, Spring v6.1.11
2026-03-10 01:22:10 [main] [] INFO  c.c.p.a.EnterpriseCommerceApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-10 01:22:11 [main] [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-10 01:22:11 [main] [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 46 ms. Found 6 JPA repository interfaces.
2026-03-10 01:22:12 [main] [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-10 01:22:12 [main] [] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-10 01:22:12 [main] [] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-10 01:22:12 [main] [] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2026-03-10 01:22:12 [main] [] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-10 01:22:12 [main] [] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2470 ms
2026-03-10 01:22:13 [main] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-10 01:22:13 [main] [] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@270b8c2a
2026-03-10 01:22:13 [main] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-10 01:22:13 [main] [] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/enterprise_commerce_db (PostgreSQL 16.13)
2026-03-10 01:22:13 [main] [] INFO  o.f.core.internal.command.DbValidate - Successfully validated 4 migrations (execution time 00:00.031s)
2026-03-10 01:22:13 [main] [] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 4
2026-03-10 01:22:13 [main] [] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
